sub,trial,uncertain_word,valence,arousal,rt,user_id
1,1,erratic,-188,126,4.971,16534
1,2,possible,36,17,7.174,16534
1,3,risky,-192,205,3.995,16534
1,4,unexpected,65,144,7.361,16534
1,5,frequent,159,61,4.527,16534
1,6,definite,209,163,2.679,16534
1,7,doubtful,-207,171,3.075,16534
1,8,certain,35,30,3.74,16534
1,9,vague,-214,-35,6.256,16534
1,10,likely,-24,85,9.634,16534
1,11,confident,178,142,3.132,16534
1,12,questionable,-180,156,3.988,16534
1,13,inevitable,216,25,5.927,16534
1,14,unknown,-185,204,3.999,16534
1,15,ambiguous,-139,84,2.766,16534
1,16,predictable,23,23,2.484,16534
1,17,improbable,109,74,4.099,16534
1,18,uncertain,-180,161,2.694,16534
2,1,likely,-115,-82,8.38,17753
2,2,definite,211,150,9.905,17753
2,3,erratic,-122,137,5.775,17753
2,4,confident,162,182,3.176,17753
2,5,unknown,1,-57,6.328,17753
2,6,questionable,-48,-29,6.079,17753
2,7,ambiguous,-56,46,6.459,17753
2,8,inevitable,-72,65,7.497,17753
2,9,vague,-57,-40,3.838,17753
2,10,possible,114,-60,3.501,17753
2,11,unexpected,-62,54,8.862,17753
2,12,predictable,64,62,4.142,17753
2,13,improbable,-98,103,3.452,17753
2,14,frequent,128,-17,4.959,17753
2,15,risky,-129,26,7.984,17753
2,16,certain,139,16,5.267,17753
2,17,doubtful,-149,-16,5.847,17753
2,18,uncertain,-109,-10,2.838,17753
4,1,erratic,-101,232,7.496,17805
4,2,confident,208,1,4.803,17805
4,3,inevitable,-2,-3,10.258,17805
4,4,ambiguous,1,1,6.757,17805
4,5,doubtful,-134,-49,7.607,17805
4,6,unexpected,-1,169,6.707,17805
4,7,frequent,-2,-3,8.046,17805
4,8,risky,-219,198,4.808,17805
4,9,certain,194,2,6.784,17805
4,10,uncertain,-182,-2,3.623,17805
4,11,definite,84,-3,14.579,17805
4,12,predictable,26,1,10.028,17805
4,13,possible,2,2,6.865,17805
4,14,questionable,-70,-4,5.858,17805
4,15,vague,-52,-29,5.153,17805
4,16,likely,-83,-30,3.866,17805
4,17,improbable,-2,-5,8.094,17805
4,18,unknown,-138,114,8.177,17805
6,1,predictable,172,38,10.409,17542
6,2,unknown,-203,-168,6.609,17542
6,3,uncertain,-163,-162,4.63,17542
6,4,erratic,-40,167,5.595,17542
6,5,ambiguous,-8,-15,5.574,17542
6,6,inevitable,12,12,4.419,17542
6,7,certain,210,29,4.311,17542
6,8,risky,-199,189,7.45,17542
6,9,improbable,-212,86,6.556,17542
6,10,vague,-12,-19,6.534,17542
6,11,questionable,-223,182,6.722,17542
6,12,likely,-233,224,4.167,17542
6,13,definite,201,196,3.769,17542
