sub,trial,uncertain_word,internal,rt,user_id
1,1,certain,60,11.068,16534
1,2,unknown,17,3.978,16534
1,3,predictable,63,2.056,16534
1,4,erratic,13,2.067,16534
1,5,ambiguous,35,1.627,16534
1,6,vague,15,3.398,16534
1,7,possible,58,3.118,16534
1,8,frequent,60,2.035,16534
1,9,likely,68,2.107,16534
1,10,improbable,30,1.7,16534
1,11,risky,42,1.691,16534
1,12,questionable,20,2.009,16534
1,13,inevitable,76,2.268,16534
1,14,confident,76,2.24,16534
1,15,uncertain,35,3.483,16534
1,16,doubtful,33,1.723,16534
1,17,unexpected,33,1.543,16534
1,18,definite,67,1.98,16534
2,1,unknown,83,9.261,17753
2,2,ambiguous,75,10.618,17753
2,3,definite,61,7.592,17753
2,4,erratic,30,7.815,17753
2,5,improbable,71,4.924,17753
2,6,doubtful,74,5.83,17753
2,7,certain,71,4.412,17753
2,8,likely,82,4.563,17753
2,9,confident,81,4.922,17753
2,10,unexpected,40,5.645,17753
2,11,predictable,100,5.658,17753
2,12,risky,62,4.176,17753
2,13,inevitable,64,3.818,17753
2,14,uncertain,53,5.13,17753
2,15,frequent,45,9.857,17753
2,16,questionable,45,6.047,17753
2,17,possible,58,5.188,17753
2,18,vague,41,5.187,17753
4,1,certain,81,13.997,17805
4,2,confident,81,9.588,17805
4,3,risky,20,4.131,17805
4,4,definite,100,2.066,17805
4,5,predictable,71,2.81,17805
4,6,improbable,20,5.104,17805
4,7,vague,30,11.153,17805
4,8,possible,50,7.474,17805
4,9,ambiguous,50,13.618,17805
4,10,uncertain,10,5.239,17805
4,11,questionable,40,4.521,17805
4,12,frequent,61,3.332,17805
4,13,inevitable,100,2.817,17805
4,14,unknown,9,7.508,17805
4,15,likely,72,2.918,17805
4,16,unexpected,39,4.349,17805
4,17,erratic,29,3.258,17805
4,18,doubtful,20,4.528,17805
6,1,frequent,72,10.599,17542
6,2,definite,82,3.985,17542
6,3,confident,70,3.358,17542
6,4,questionable,77,3.424,17542
6,5,unexpected,70,2.951,17542
6,6,improbable,78,2.211,17542
6,7,predictable,92,3.51,17542
6,8,possible,98,3.272,17542
6,9,erratic,81,2.35,17542
6,10,certain,79,2.395,17542
6,11,risky,75,2.592,17542
6,12,unknown,72,2.362,17542
6,13,likely,71,2.677,17542
6,14,doubtful,71,2.32,17542
6,15,uncertain,72,3.08,17542
6,16,ambiguous,65,2.291,17542
6,17,vague,62,2.197,17542
6,18,inevitable,64,3.053,17542
8,1,frequent,10,15.372,17778
8,2,ambiguous,50,7.142,17778
8,3,risky,31,10.151,17778
8,4,vague,85,5.066,17778
8,5,unknown,50,7.883,17778
8,6,questionable,71,3.66,17778
8,7,likely,50,3.41,17778
8,8,confident,90,6.828,17778
8,9,predictable,63,6.786,17778
8,10,doubtful,78,4.95,17778
8,11,erratic,85,3.808,17778
8,12,inevitable,100,3.571,17778
8,13,certain,50,4.629,17778
8,14,uncertain,50,3.265,17778
8,15,possible,50,3.573,17778
8,16,improbable,50,3.8,17778
8,17,unexpected,0,7.742,17778
8,18,definite,65,9.997,17778
10,1,confident,60,9.882,17814
10,2,uncertain,100,6.527,17814
10,3,unknown,0,4.985,17814
10,4,possible,63,8.781,17814
10,5,predictable,0,2.302,17814
10,6,unexpected,0,3.939,17814
10,7,likely,24,3.989,17814
10,8,doubtful,81,2.307,17814
