sub,trial,uncertain_word,probability,rt,user_id
1,1,risky,10,5.715,16534
1,2,vague,39,4.872,16534
1,3,uncertain,7,3.768,16534
1,4,doubtful,29,3.281,16534
1,5,frequent,60,8.455,16534
1,6,improbable,9,2.87,16534
1,7,erratic,50,3.106,16534
1,8,predictable,82,1.831,16534
1,9,likely,86,2.884,16534
1,10,unknown,50,2.616,16534
1,11,certain,73,2.767,16534
1,12,inevitable,95,2.062,16534
1,13,definite,92,1.975,16534
1,14,confident,89,2.136,16534
1,15,possible,71,1.635,16534
1,16,ambiguous,50,2.4,16534
1,17,questionable,44,3.039,16534
1,18,unexpected,19,4.266,16534
2,1,doubtful,19,14.294,17753
2,2,ambiguous,50,4.47,17753
2,3,unexpected,14,9.272,17753
2,4,questionable,30,3.401,17753
2,5,possible,77,3.78,17753
2,6,likely,83,2.817,17753
2,7,inevitable,100,2.976,17753
2,8,unknown,50,3.365,17753
2,9,confident,90,4.122,17753
2,10,predictable,74,9.129,17753
2,11,vague,51,3.504,17753
2,12,erratic,51,4.78,17753
2,13,improbable,10,4.418,17753
2,14,frequent,65,5.728,17753
2,15,risky,50,6.827,17753
2,16,certain,78,4.132,17753
2,17,uncertain,21,3.574,17753
2,18,definite,100,2.455,17753
4,1,questionable,30,7.993,17805
4,2,doubtful,20,3.835,17805
4,3,unknown,1,11.479,17805
4,4,predictable,71,4.29,17805
4,5,vague,9,3.181,17805
4,6,erratic,8,2.441,17805
4,7,ambiguous,50,3.479,17805
4,8,possible,50,3.851,17805
4,9,confident,76,6.361,17805
4,10,improbable,9,4.062,17805
4,11,uncertain,1,3.599,17805
4,12,risky,14,5.767,17805
4,13,definite,100,2.024,17805
4,14,likely,76,2.889,17805
4,15,unexpected,50,3.758,17805
4,16,frequent,64,3.316,17805
4,17,inevitable,100,1.597,17805
4,18,certain,100,1.422,17805
6,1,erratic,55,3.108,17542
6,2,uncertain,52,3.035,17542
6,3,vague,72,3.841,17542
6,4,doubtful,67,1.631,17542
6,5,unknown,60,2.082,17542
6,6,risky,58,4.729,17542
6,7,confident,78,4.734,17542
6,8,predictable,78,3.501,17542
6,9,ambiguous,65,2.101,17542
6,10,certain,68,1.7,17542
6,11,questionable,59,3.424,17542
6,12,possible,63,4.326,17542
6,13,inevitable,61,4.11,17542
6,14,unexpected,47,7.339,17542
6,15,improbable,58,5.992,17542
6,16,frequent,71,3.756,17542
6,17,likely,70,2.074,17542
6,18,definite,75,1.775,17542
8,1,predictable,81,7.887,17778
8,2,possible,77,5.792,17778
8,3,likely,71,4.073,17778
8,4,frequent,75,3.021,17778
8,5,doubtful,46,3.94,17778
8,6,unexpected,31,6.832,17778
8,7,risky,51,8.761,17778
8,8,inevitable,100,8.223,17778
8,9,confident,91,4.24,17778
8,10,improbable,0,4.233,17778
8,11,certain,98,4.178,17778
8,12,questionable,65,3.853,17778
8,13,vague,50,2.379,17778
8,14,definite,100,3.325,17778
8,15,ambiguous,50,12.053,17778
8,16,erratic,34,5.638,17778
8,17,unknown,4,5.495,17778
8,18,uncertain,23,3.34,17778
10,1,unexpected,19,25.137,17814
10,2,possible,53,3.231,17814
10,3,certain,92,3.074,17814
10,4,definite,100,2.281,17814
10,5,risky,19,3.725,17814
10,6,erratic,51,3.75,17814
10,7,unknown,41,6.424,17814
10,8,improbable,9,2.845,17814
10,9,doubtful,19,3.955,17814
10,10,likely,82,3.859,17814
10,11,questionable,16,5.864,17814
10,12,inevitable,100,3.215,17814
10,13,uncertain,51,2.668,17814
10,14,vague,50,2.435,17814
10,15,predictable,92,4.136,17814
10,16,ambiguous,51,4.227,17814
10,17,confident,93,4.024,17814
10,18,frequent,80,5.077,17814
11,1,likely,66,7.037,17889
11,2,frequent,92,5.296,17889
11,3,certain,100,2.687,17889
11,4,vague,11,4.661,17889
11,5,uncertain,30,5.752,17889
11,6,possible,50,4.595,17889
11,7,predictable,83,5.198,17889
11,8,risky,1,4.954,17889
11,9,questionable,42,3.929,17889
11,10,erratic,22,3.471,17889
11,11,ambiguous,55,3.745,17889
11,12,unexpected,31,6.325,17889
11,13,improbable,19,4.41,17889
11,14,definite,100,3.573,17889
11,15,inevitable,100,2.935,17889
11,16,confident,95,4.036,17889
11,17,doubtful,15,7.233,17889
11,18,unknown,0,6.306,17889
12,1,confident,80,7.833,17864
12,2,uncertain,20,4.507,17864
12,3,likely,65,4.587,17864
12,4,inevitable,97,4.537,17864
12,5,unexpected,50,7.845,17864
12,6,certain,99,2.968,17864
