sub,trial,uncertain_word,valence,arousal,rt
1,1,questionable,-75,154,5.25
1,2,erratic,-188,192,4.083
1,3,uncertain,-103,162,8.711
1,4,definite,107,-57,3.234
1,5,doubtful,-193,84,4.787
1,6,unknown,-53,211,4.674
1,7,ambiguous,0,193,3.895
1,8,predictable,54,-208,5.474
1,9,frequent,30,-84,3.93
1,10,improbable,-108,65,6.54
1,11,possible,2,96,4.693
1,12,likely,-29,166,5.007
1,13,confident,182,120,3.555
1,14,inevitable,209,-226,4.114
1,15,unexpected,-7,163,3.902
1,16,vague,-124,43,6.881
1,17,certain,48,-193,3.351
1,18,risky,0,213,6.465
2,1,doubtful,-73,-39,13.51
2,2,possible,116,82,3.515
2,3,inevitable,0,69,5.569
2,4,risky,2,131,10.679
2,5,unexpected,1,-27,3.596
2,6,confident,16,-214,6.651
2,7,questionable,-171,60,3.702
2,8,predictable,23,-143,11.18
2,9,erratic,11,-72,2.762
2,10,certain,206,-195,3.538
2,11,frequent,210,82,4.115
2,12,ambiguous,-149,-108,3.567
2,13,definite,139,102,3.26
2,14,uncertain,-138,-203,4.038
2,15,improbable,-158,-65,2.676
2,16,likely,-86,77,4.967
2,17,vague,-71,-112,3.246
2,18,unknown,-84,-119,2.854
3,1,risky,-148,161,6.971
3,2,erratic,-193,80,3.287
3,3,inevitable,-124,-201,4.395
3,4,likely,-161,-166,2.745
3,5,possible,89,-41,4.279
3,6,frequent,201,20,5.218
3,7,certain,103,102,2.201
3,8,unknown,-28,-46,4.992
3,9,improbable,-99,-35,4.553
3,10,doubtful,-128,-107,4.143
3,11,confident,195,150,2.867
3,12,ambiguous,-1,-3,2.714
3,13,unexpected,-27,123,4.593
3,14,uncertain,-77,-89,3.451
3,15,questionable,-22,17,3.505
3,16,vague,-86,-140,3.181
3,17,predictable,24,-64,3.426
3,18,definite,38,180,3.437
4,1,risky,-213,210,5.749
4,2,predictable,163,-212,4.322
4,3,likely,-235,-240,3.631
4,4,inevitable,124,133,4.671
4,5,improbable,-226,33,3.546
4,6,confident,243,241,5.861
4,7,uncertain,-237,-239,7.838
4,8,frequent,165,181,3.447
4,9,vague,-7,11,8.02
4,10,questionable,-30,-56,5.985
4,11,possible,137,230,4.75
4,12,erratic,-135,-243,3.885
4,13,ambiguous,30,61,4.884
4,14,doubtful,-127,35,3.83
4,15,unexpected,-84,161,3.797
4,16,definite,240,42,4.552
4,17,unknown,-66,71,3.101
4,18,certain,197,117,6.014
5,1,likely,-143,5,11.576
5,2,ambiguous,-54,17,8.391
5,3,questionable,-36,-25,17.926
5,4,definite,52,13,5.618
5,5,unexpected,1,52,101.984
5,6,risky,-28,59,5.966
5,7,inevitable,41,73,6.446
5,8,unknown,-57,86,4.765
5,9,predictable,119,-36,6.11
5,10,improbable,-72,-35,5.089
5,11,erratic,-127,190,5.183
5,12,certain,104,37,4.364
5,13,frequent,6,3,5.32
5,14,doubtful,-11,-13,4.04
5,15,confident,202,69,5.846
5,16,uncertain,-204,42,5.564
5,17,vague,1,6,3.758
5,18,possible,172,108,7.324
6,1,inevitable,-93,-228,22.406
6,2,unexpected,-50,168,10.151
6,3,doubtful,-89,-39,4.048
6,4,definite,171,-100,6.17
6,5,unknown,-2,143,6.697
6,6,likely,-107,64,13.52
6,7,questionable,-45,33,4.929
6,8,ambiguous,-12,113,5.029
6,9,confident,157,42,6.608
6,10,frequent,2,45,6.392
6,11,improbable,-32,-74,6.5
6,12,certain,172,1,6.578
6,13,possible,56,95,7.141
6,14,risky,-134,117,4.485
6,15,uncertain,-80,44,6.478
6,16,predictable,35,-106,6.996
6,17,vague,-91,63,8.204
6,18,erratic,-61,175,4.502
7,1,certain,31,28,21.102
7,2,uncertain,-40,27,6.758
7,3,questionable,-37,-44,7.241
7,4,likely,-59,1,9.166
7,5,frequent,-1,0,8.778
7,6,ambiguous,-1,1,5.683
7,7,erratic,-232,206,12.675
7,8,unexpected,0,201,13.473
7,9,definite,0,1,10.753
7,10,improbable,-36,1,7.352
7,11,inevitable,-50,2,13.211
7,12,doubtful,-78,0,9.726
7,13,risky,-170,237,9.668
7,14,vague,-6,0,23.15
7,15,possible,94,0,8.027
7,16,unknown,1,1,4.794
7,17,confident,130,136,8.982
7,18,predictable,1,1,9.005
8,1,unknown,1,3,19.769
8,2,likely,-125,-110,14.637
8,3,erratic,-131,123,9.384
8,4,confident,135,183,7.698
8,5,certain,21,36,15.612
8,6,uncertain,-31,-35,8.381
8,7,definite,-1,214,6.994
8,8,questionable,0,-1,8.784
8,9,possible,98,16,11.272
8,10,unexpected,0,146,14.493
8,11,predictable,1,-183,12.223
8,12,improbable,-62,-56,10.422
8,13,risky,1,163,10.748
8,14,ambiguous,-1,2,8.15
8,15,vague,-1,-2,6.466
8,16,frequent,-3,2,9.408
8,17,inevitable,2,0,18.155
8,18,doubtful,-84,-119,6.826
10,1,definite,206,113,7.076
10,2,confident,172,198,3.487
10,3,uncertain,-200,91,4.823
10,4,certain,103,145,8.316
10,5,unexpected,-181,-77,4.842
10,6,improbable,-60,-22,8.838
10,7,likely,-188,-161,4.862
10,8,predictable,8,107,6.82
10,9,doubtful,-153,-121,4.342
10,10,vague,-29,-134,5.783
10,11,risky,-151,213,4.952
10,12,unknown,-88,-203,8.909
10,13,ambiguous,-25,-52,4.266
10,14,frequent,6,176,6.775
10,15,questionable,-209,104,4.773
10,16,inevitable,25,223,5.697
10,17,possible,69,84,4.264
10,18,erratic,-119,243,4.756
13,1,erratic,-132,102,18.264
13,2,inevitable,-67,3,5.018
13,3,unexpected,-66,-2,3.064
13,4,risky,-208,161,3.249
13,5,possible,86,1,2.803
13,6,certain,176,116,4.867
13,7,questionable,-1,4,4.349
13,8,likely,-44,-39,5.313
13,9,doubtful,-48,-57,3.09
13,10,confident,184,203,5.218
13,11,predictable,95,59,4.248
13,12,frequent,143,-2,2.526
13,13,uncertain,-38,1,3.565
13,14,ambiguous,4,-109,2.774
13,15,definite,172,178,3.826
13,16,improbable,40,158,9.247
13,17,vague,-4,0,12.472
13,18,unknown,-57,-49,3.126
16,1,unknown,19,-233,7.127
16,2,possible,154,27,2.869
16,3,confident,146,84,2.361
16,4,uncertain,-182,-89,3.615
16,5,doubtful,-155,-224,3.823
16,6,certain,158,183,2.392
16,7,erratic,-108,160,2.799
16,8,definite,217,223,4.387
16,9,unexpected,73,109,5.526
16,10,frequent,19,15,5.648
16,11,risky,-222,-221,4.463
16,12,predictable,94,116,3.377
16,13,ambiguous,-140,118,2.921
16,14,likely,-111,-166,2.88
16,15,improbable,182,-161,5.615
16,16,inevitable,237,188,3.066
16,17,questionable,-202,146,2.815
16,18,vague,-136,-185,2.409
17,1,possible,-1,1,11.067
17,2,unexpected,-1,128,10.678
17,3,improbable,0,149,20.709
17,4,definite,0,-114,9.272
17,5,questionable,-1,55,13.407
17,6,likely,0,39,10.512
17,7,doubtful,-1,39,6.676
17,8,confident,49,0,12.982
17,9,ambiguous,-1,17,9.193
17,10,inevitable,0,-94,8.903
17,11,predictable,1,-82,10.131
17,12,risky,-19,199,14.419
17,13,certain,-1,-143,11.063
17,14,erratic,-3,209,8.948
17,15,unknown,0,71,8.249
17,16,frequent,0,-32,10.166
17,17,uncertain,-3,72,16.947
17,18,vague,-43,24,11.827
18,1,frequent,-1,130,7.511
18,2,questionable,-112,63,5.092
18,3,predictable,73,146,3.705
18,4,possible,154,155,4.044
18,5,improbable,-166,-20,4.46
18,6,vague,-26,-128,2.83
18,7,likely,-102,-41,2.532
18,8,risky,-197,210,5.174
18,9,certain,111,-150,3.209
18,10,doubtful,-163,-45,3.237
18,11,unexpected,-36,225,3.345
18,12,erratic,-102,186,7.26
18,13,uncertain,-37,-121,2.227
18,14,ambiguous,4,-12,2.475
18,15,inevitable,65,198,2.754
18,16,confident,184,48,8.978
18,17,definite,187,40,2.041
18,18,unknown,-1,-3,3.479
21,1,unexpected,-200,-190,4.559
21,2,likely,-47,-91,6.117
21,3,improbable,-78,-119,2.524
21,4,unknown,-69,-90,3.481
21,5,risky,-215,165,7.775
21,6,confident,203,166,4.061
21,7,vague,-202,-95,4.523
21,8,predictable,209,-218,4.519
21,9,inevitable,206,-186,3.533
21,10,uncertain,-135,107,4.233
21,11,frequent,91,25,4.437
21,12,certain,185,167,4.188
21,13,erratic,-216,212,3.442
21,14,ambiguous,-140,-34,4.144
21,15,questionable,-179,145,3.765
21,16,possible,224,1,4.858
21,17,doubtful,-106,2,3.828
21,18,definite,117,190,3.589
22,1,likely,-91,-82,3.551
22,2,confident,129,104,2.024
22,3,ambiguous,41,-70,2.138
22,4,unknown,-62,-98,1.646
22,5,questionable,-70,49,1.933
