gamble_id,gain_loss,A_p1,A_o1,A_p2,A_o2,B_p1,B_o1,B_p2,B_o2,A_risky,B_risky
1,gain,0.34,24,0.66,59,0.42,47,0.58,64,risky,risky
2,gain,0.88,79,0.12,82,0.2,57,0.8,94,risky,risky
3,gain,0.74,62,0.26,0,0.44,23,0.56,31,risky,risky
4,gain,0.05,56,0.95,72,0.95,68,0.05,95,risky,risky
5,gain,0.25,84,0.75,43,0.42,7,0.57,97,risky,risky
6,gain,0.28,7,0.72,74,0.71,55,0.29,63,risky,risky
7,gain,0.09,56,0.91,19,0.76,13,0.24,90,risky,risky
8,gain,0.63,41,0.37,18,0.98,56,0.02,8,risky,risky
9,gain,0.88,72,0.12,29,0.39,67,0.61,63,risky,risky
10,gain,0.61,37,0.39,50,0.6,6,0.4,45,risky,risky
11,gain,0.08,54,0.92,31,0.15,44,0.85,29,risky,risky
12,gain,0.92,63,0.08,5,0.63,43,0.37,53,risky,risky
13,gain,0.78,32,0.22,99,0.32,39,0.68,56,risky,risky
14,gain,0.16,66,0.84,23,0.79,15,0.21,29,risky,risky
15,gain,0.12,52,0.88,73,0.98,92,0.02,19,risky,risky
16,gain,0.29,88,0.71,78,0.29,53,0.71,91,risky,risky
17,gain,0.31,39,0.69,51,0.84,16,0.16,91,risky,risky
18,gain,0.17,70,0.83,65,0.35,100,0.65,50,risky,risky
19,gain,0.91,80,0.09,19,0.64,37,0.36,65,risky,risky
20,gain,0.09,83,0.91,67,0.48,77,0.52,6,risky,risky
21,gain,0.44,14,0.56,72,0.21,9,0.79,31,risky,risky
22,gain,0.68,41,0.32,65,0.85,100,0.15,2,risky,risky
23,gain,0.38,40,0.62,55,0.14,26,0.86,96,risky,risky
24,gain,0.62,1,0.38,83,0.41,37,0.59,24,risky,risky
25,gain,0.49,15,0.51,50,0.94,64,0.06,14,risky,risky
26,loss,0.16,-15,0.84,-67,0.72,-56,0.28,-83,risky,risky
27,loss,0.13,-19,0.87,-56,0.7,-32,0.3,-37,risky,risky
28,loss,0.29,-67,0.71,-28,0.05,-46,0.44,-95,risky,risky
29,loss,0.82,-40,0.18,-90,0.17,-46,0.83,-64,risky,risky
30,loss,0.29,-25,0.71,-86,0.76,-38,0.24,-99,risky,risky
31,loss,0.6,-46,0.4,-21,0.42,-99,0.58,-37,risky,risky
32,loss,0.48,-15,0.52,-91,0.28,-48,0.72,-74,risky,risky
33,loss,0.53,-93,0.47,-26,0.8,-52,0.2,-93,risky,risky
34,loss,0.49,-1,0.51,-54,0.77,-33,0.23,-30,risky,risky
35,loss,0.99,-24,0.01,-13,0.44,-15,0.56,-62,risky,risky
36,loss,0.79,-67,0.21,-37,0.46,0,0.54,-97,risky,risky
37,loss,0.56,-58,0.44,-80,0.86,-58,0.14,-97,risky,risky
38,loss,0.63,-96,0.37,-38,0.17,-12,0.83,-69,risky,risky
39,loss,0.59,-55,0.41,-77,0.47,-30,0.53,-61,risky,risky
40,loss,0.13,-29,0.87,-76,0.55,-100,0.45,-28,risky,risky
41,loss,0.84,-57,0.16,-90,0.25,-63,0.75,-30,risky,risky
42,loss,0.86,-29,0.14,-30,0.26,-17,0.74,-43,risky,risky
43,loss,0.66,-8,0.34,-95,0.93,-42,0.07,-30,risky,risky
44,loss,0.39,-35,0.61,-72,0.76,-57,0.24,-28,risky,risky
45,loss,0.51,-26,0.49,-76,0.77,-48,0.23,-34,risky,risky
46,loss,0.73,-73,0.27,-54,0.17,-42,0.83,-70,risky,risky
47,loss,0.49,-66,0.51,-92,0.78,-97,0.22,-34,risky,risky
48,loss,0.56,-9,0.44,-56,0.64,-15,0.36,-80,risky,risky
49,loss,0.96,-61,0.04,-56,0.34,-7,0.66,-63,risky,risky
50,loss,0.56,-4,0.44,-80,0.04,-46,0.96,-58,risky,risky
51,mixed,0.43,-91,0.57,63,0.27,-83,0.73,24,risky,risky
52,mixed,0.06,-82,0.94,54,0.09,-73,0.91,38,risky,risky
53,mixed,0.79,-70,0.21,98,0.65,-85,0.35,93,risky,risky
54,mixed,0.79,-70,0.21,98,0.65,-85,0.35,93,risky,risky
55,mixed,0.61,96,0.39,-67,0.5,71,0.5,-26,risky,risky
56,mixed,0.43,-47,0.57,63,0.02,-69,0.98,14,risky,risky
57,mixed,0.61,19,0.39,-70,0.3,8,0.7,-37,risky,risky
58,mixed,0.59,-100,0.41,81,0.47,-73,0.53,15,risky,risky
59,mixed,0.92,-73,0.08,96,0.89,-48,0.11,16,risky,risky
60,mixed,0.11,27,0.89,-31,0.36,26,0.64,-48,risky,risky
61,mixed,0.14,83,0.86,-39,0.8,8,0.2,-88,risky,risky
62,mixed,0.74,77,0.26,-23,0.67,75,0.33,-7,risky,risky
63,mixed,0.91,-33,0.09,28,0.73,-67,0.27,9,risky,risky
64,mixed,0.93,75,0.07,-90,0.87,96,0.13,-89,risky,risky
65,mixed,0.99,67,0.01,-3,0.68,74,0.32,-2,risky,risky
66,mixed,0.48,58,0.52,-5,0.6,96,0.4,-40,risky,risky
67,mixed,0.07,-55,0.93,95,0.48,-13,0.52,99,risky,risky
68,mixed,0.97,-51,0.03,30,0.68,-89,0.32,46,risky,risky
69,mixed,0.86,-26,0.14,82,0.6,-39,0.4,31,risky,risky
70,mixed,0.88,-90,0.12,88,0.8,-86,0.2,14,risky,risky
71,mixed,0.87,-78,0.13,45,0.88,-69,0.12,83,risky,risky
72,mixed,0.96,17,0.04,-48,0.49,-60,0.51,84,risky,risky
73,mixed,0.38,-49,0.62,2,0.22,19,0.78,-18,risky,risky
74,mixed,0.28,-59,0.72,72,0.04,-4,0.96,63,risky,risky
75,mixed,0.5,98,0.5,-24,0.14,-76,0.86,46,risky,risky
