sub,trial,gamble,choice,choice_fct,rt
1,1,70,1,A,6.001
1,2,51,1,A,4.378
1,3,47,1,A,8.883
1,4,79,1,A,7.507
1,5,54,1,A,4.123
1,6,75,1,A,3.584
1,7,65,1,A,5.232
1,8,10,1,A,7.404
1,9,14,1,A,6.991
1,10,30,2,B,6.241
1,11,72,1,A,7.867
1,12,39,2,B,8.031
1,13,61,1,A,4.971
1,14,60,1,A,4.782
1,15,19,2,B,4.601
1,16,12,1,A,4.276
1,17,21,1,A,4.05
1,18,52,1,A,4.492
1,19,45,2,B,4.704
1,20,11,1,A,4.732
1,21,34,2,B,5.663
1,22,74,2,B,9.839
1,23,28,1,A,6.482
1,24,91,2,B,4.69
1,25,84,2,B,4.403
1,26,76,2,B,6.143
1,27,87,2,B,3.229
1,28,1,2,B,4.705
1,29,33,2,B,6.305
1,30,58,2,B,6.824
1,31,81,1,A,5.43
1,32,67,2,B,5.528
1,33,49,1,A,6.135
1,34,7,2,B,8.376
1,35,77,1,A,3.441
1,36,69,2,B,4.538
1,37,56,1,A,5.662
1,38,43,1,A,7.228
1,39,23,2,B,4.837
1,40,90,1,A,2.957
1,41,16,2,B,5.733
1,42,85,1,A,4.958
1,43,31,1,A,4.66
1,44,18,2,B,3.272
1,45,42,1,A,5.166
1,46,41,2,B,5.059
1,47,66,2,B,2.973
1,48,4,2,B,4.755
1,49,17,1,A,6.056
1,50,26,1,A,4.985
1,51,82,2,B,3.404
1,52,59,2,B,3.799
1,53,40,1,A,4.966
1,54,71,2,B,3.805
1,55,5,2,B,7.205
1,56,48,2,B,3.877
1,57,63,1,A,6.01
1,58,46,2,B,6.436
1,59,78,2,B,3.401
1,60,57,2,B,3.754
1,61,35,1,A,4.856
1,62,15,2,B,4.106
1,63,80,1,A,3.594
1,64,32,2,B,3.564
1,65,3,1,A,4.454
1,66,29,2,B,4.629
1,67,25,2,B,2.93
1,68,44,2,B,5.803
1,69,88,1,A,5.406
1,70,55,1,A,5.125
1,71,37,1,A,4.006
1,72,38,2,B,5.404
1,73,24,2,B,3.004
1,74,83,1,A,4.403
1,75,2,2,B,6.01
1,76,68,2,B,3.446
1,77,64,2,B,3.608
1,78,6,1,A,3.851
1,79,36,2,B,4.785
1,80,89,1,A,3.033
1,81,22,2,B,3.442
1,82,73,2,B,5.013
1,83,53,1,A,3.813
1,84,8,2,B,3.404
1,85,20,1,A,2.997
1,86,9,1,A,4.148
1,87,27,2,B,4.386
1,88,13,1,A,3.165
1,89,50,2,B,5.109
1,90,86,2,B,3.103
1,91,62,2,B,3.452
2,1,22,1,A,7.343
2,2,14,1,A,10.787
2,3,68,2,B,4.302
2,4,47,2,B,2.53
2,5,49,1,A,1.52
