sub,trial,gamble,choice,choice_fct,rt,gain_loss,A_p1,A_o1,A_p2,A_o2,B_p1,B_o1,B_p2,B_o2,A_risky,B_risky
1,28,1,2,B,4.705,gain,0.34,24,0.66,59,0.42,47,0.58,64,risky,risky
1,75,2,2,B,6.01,gain,0.88,79,0.12,82,0.2,57,0.8,94,risky,risky
1,65,3,1,A,4.454,gain,0.74,62,0.26,0,0.44,23,0.56,31,risky,risky
1,48,4,2,B,4.755,gain,0.05,56,0.95,72,0.95,68,0.05,95,risky,risky
1,55,5,2,B,7.205,gain,0.25,84,0.75,43,0.42,7,0.57,97,risky,risky
1,78,6,1,A,3.851,gain,0.28,7,0.72,74,0.71,55,0.29,63,risky,risky
1,34,7,2,B,8.376,gain,0.09,56,0.91,19,0.76,13,0.24,90,risky,risky
1,84,8,2,B,3.404,gain,0.63,41,0.37,18,0.98,56,0.02,8,risky,risky
1,86,9,1,A,4.148,gain,0.88,72,0.12,29,0.39,67,0.61,63,risky,risky
1,8,10,1,A,7.404,gain,0.61,37,0.39,50,0.6,6,0.4,45,risky,risky
1,20,11,1,A,4.732,gain,0.08,54,0.92,31,0.15,44,0.85,29,risky,risky
1,16,12,1,A,4.276,gain,0.92,63,0.08,5,0.63,43,0.37,53,risky,risky
1,88,13,1,A,3.165,gain,0.78,32,0.22,99,0.32,39,0.68,56,risky,risky
1,9,14,1,A,6.991,gain,0.16,66,0.84,23,0.79,15,0.21,29,risky,risky
1,62,15,2,B,4.106,gain,0.12,52,0.88,73,0.98,92,0.02,19,risky,risky
1,41,16,2,B,5.733,gain,0.29,88,0.71,78,0.29,53,0.71,91,risky,risky
1,49,17,1,A,6.056,gain,0.31,39,0.69,51,0.84,16,0.16,91,risky,risky
1,44,18,2,B,3.272,gain,0.17,70,0.83,65,0.35,100,0.65,50,risky,risky
1,15,19,2,B,4.601,gain,0.91,80,0.09,19,0.64,37,0.36,65,risky,risky
1,85,20,1,A,2.997,gain,0.09,83,0.91,67,0.48,77,0.52,6,risky,risky
1,17,21,1,A,4.05,gain,0.44,14,0.56,72,0.21,9,0.79,31,risky,risky
1,81,22,2,B,3.442,gain,0.68,41,0.32,65,0.85,100,0.15,2,risky,risky
1,39,23,2,B,4.837,gain,0.38,40,0.62,55,0.14,26,0.86,96,risky,risky
1,73,24,2,B,3.004,gain,0.62,1,0.38,83,0.41,37,0.59,24,risky,risky
1,67,25,2,B,2.93,gain,0.49,15,0.51,50,0.94,64,0.06,14,risky,risky
1,50,26,1,A,4.985,loss,0.16,-15,0.84,-67,0.72,-56,0.28,-83,risky,risky
1,87,27,2,B,4.386,loss,0.13,-19,0.87,-56,0.7,-32,0.3,-37,risky,risky
1,23,28,1,A,6.482,loss,0.29,-67,0.71,-28,0.05,-46,0.44,-95,risky,risky
1,66,29,2,B,4.629,loss,0.82,-40,0.18,-90,0.17,-46,0.83,-64,risky,risky
1,10,30,2,B,6.241,loss,0.29,-25,0.71,-86,0.76,-38,0.24,-99,risky,risky
1,43,31,1,A,4.66,loss,0.6,-46,0.4,-21,0.42,-99,0.58,-37,risky,risky
1,64,32,2,B,3.564,loss,0.48,-15,0.52,-91,0.28,-48,0.72,-74,risky,risky
1,29,33,2,B,6.305,loss,0.53,-93,0.47,-26,0.8,-52,0.2,-93,risky,risky
1,21,34,2,B,5.663,loss,0.49,-1,0.51,-54,0.77,-33,0.23,-30,risky,risky
1,61,35,1,A,4.856,loss,0.99,-24,0.01,-13,0.44,-15,0.56,-62,risky,risky
1,79,36,2,B,4.785,loss,0.79,-67,0.21,-37,0.46,0,0.54,-97,risky,risky
1,71,37,1,A,4.006,loss,0.56,-58,0.44,-80,0.86,-58,0.14,-97,risky,risky
1,72,38,2,B,5.404,loss,0.63,-96,0.37,-38,0.17,-12,0.83,-69,risky,risky
1,12,39,2,B,8.031,loss,0.59,-55,0.41,-77,0.47,-30,0.53,-61,risky,risky
1,53,40,1,A,4.966,loss,0.13,-29,0.87,-76,0.55,-100,0.45,-28,risky,risky
1,46,41,2,B,5.059,loss,0.84,-57,0.16,-90,0.25,-63,0.75,-30,risky,risky
1,45,42,1,A,5.166,loss,0.86,-29,0.14,-30,0.26,-17,0.74,-43,risky,risky
1,38,43,1,A,7.228,loss,0.66,-8,0.34,-95,0.93,-42,0.07,-30,risky,risky
1,68,44,2,B,5.803,loss,0.39,-35,0.61,-72,0.76,-57,0.24,-28,risky,risky
1,19,45,2,B,4.704,loss,0.51,-26,0.49,-76,0.77,-48,0.23,-34,risky,risky
1,58,46,2,B,6.436,loss,0.73,-73,0.27,-54,0.17,-42,0.83,-70,risky,risky
1,3,47,1,A,8.883,loss,0.49,-66,0.51,-92,0.78,-97,0.22,-34,risky,risky
1,56,48,2,B,3.877,loss,0.56,-9,0.44,-56,0.64,-15,0.36,-80,risky,risky
1,33,49,1,A,6.135,loss,0.96,-61,0.04,-56,0.34,-7,0.66,-63,risky,risky
1,89,50,2,B,5.109,loss,0.56,-4,0.44,-80,0.04,-46,0.96,-58,risky,risky
1,2,51,1,A,4.378,mixed,0.43,-91,0.57,63,0.27,-83,0.73,24,risky,risky
1,18,52,1,A,4.492,mixed,0.06,-82,0.94,54,0.09,-73,0.91,38,risky,risky
1,83,53,1,A,3.813,mixed,0.79,-70,0.21,98,0.65,-85,0.35,93,risky,risky
1,5,54,1,A,4.123,mixed,0.79,-70,0.21,98,0.65,-85,0.35,93,risky,risky
1,70,55,1,A,5.125,mixed,0.61,96,0.39,-67,0.5,71,0.5,-26,risky,risky
1,37,56,1,A,5.662,mixed,0.43,-47,0.57,63,0.02,-69,0.98,14,risky,risky
1,60,57,2,B,3.754,mixed,0.61,19,0.39,-70,0.3,8,0.7,-37,risky,risky
1,30,58,2,B,6.824,mixed,0.59,-100,0.41,81,0.47,-73,0.53,15,risky,risky
1,52,59,2,B,3.799,mixed,0.92,-73,0.08,96,0.89,-48,0.11,16,risky,risky
1,14,60,1,A,4.782,mixed,0.11,27,0.89,-31,0.36,26,0.64,-48,risky,risky
1,13,61,1,A,4.971,mixed,0.14,83,0.86,-39,0.8,8,0.2,-88,risky,risky
1,91,62,2,B,3.452,mixed,0.74,77,0.26,-23,0.67,75,0.33,-7,risky,risky
1,57,63,1,A,6.01,mixed,0.91,-33,0.09,28,0.73,-67,0.27,9,risky,risky
1,77,64,2,B,3.608,mixed,0.93,75,0.07,-90,0.87,96,0.13,-89,risky,risky
1,7,65,1,A,5.232,mixed,0.99,67,0.01,-3,0.68,74,0.32,-2,risky,risky
1,47,66,2,B,2.973,mixed,0.48,58,0.52,-5,0.6,96,0.4,-40,risky,risky
1,32,67,2,B,5.528,mixed,0.07,-55,0.93,95,0.48,-13,0.52,99,risky,risky
1,76,68,2,B,3.446,mixed,0.97,-51,0.03,30,0.68,-89,0.32,46,risky,risky
1,36,69,2,B,4.538,mixed,0.86,-26,0.14,82,0.6,-39,0.4,31,risky,risky
1,1,70,1,A,6.001,mixed,0.88,-90,0.12,88,0.8,-86,0.2,14,risky,risky
1,54,71,2,B,3.805,mixed,0.87,-78,0.13,45,0.88,-69,0.12,83,risky,risky
1,11,72,1,A,7.867,mixed,0.96,17,0.04,-48,0.49,-60,0.51,84,risky,risky
1,82,73,2,B,5.013,mixed,0.38,-49,0.62,2,0.22,19,0.78,-18,risky,risky
1,22,74,2,B,9.839,mixed,0.28,-59,0.72,72,0.04,-4,0.96,63,risky,risky
1,6,75,1,A,3.584,mixed,0.5,98,0.5,-24,0.14,-76,0.86,46,risky,risky
1,26,76,2,B,6.143,mixed,0.5,0,0.5,0,0.5,-20,0.5,60,risky,risky
1,35,77,1,A,3.441,mixed,0.5,-30,0.5,60,0.5,0,0.5,0,risky,risky
1,59,78,2,B,3.401,mixed,0.5,0,0.5,0,0.5,-40,0.5,60,risky,risky
1,4,79,1,A,7.507,mixed,0.5,-50,0.5,60,0.5,0,0.5,0,risky,risky
1,63,80,1,A,3.594,mixed,0.5,0,0.5,0,0.5,-60,0.5,60,risky,risky
1,31,81,1,A,5.43,mixed,0.5,-70,0.5,60,0.5,0,0.5,0,risky,risky
1,51,82,2,B,3.404,gain,0.1,77,0.9,2,0.1,40,0.9,32,risky,risky
1,74,83,1,A,4.403,gain,0.2,40,0.8,32,0.2,77,0.8,2,risky,risky
1,25,84,2,B,4.403,gain,0.3,77,0.7,2,0.3,40,0.7,32,risky,risky
1,42,85,1,A,4.958,gain,0.4,40,0.6,32,0.4,77,0.6,2,risky,risky
1,90,86,2,B,3.103,gain,0.5,77,0.5,2,0.5,40,0.5,32,risky,risky
1,27,87,2,B,3.229,gain,0.6,40,0.4,32,0.6,77,0.4,2,risky,risky
1,69,88,1,A,5.406,gain,0.7,40,0.3,32,0.7,77,0.3,2,risky,risky
1,80,89,1,A,3.033,gain,0.8,77,0.2,2,0.8,40,0.2,32,risky,risky
1,40,90,1,A,2.957,gain,0.9,77,0.1,2,0.9,40,0.1,32,risky,risky
2,47,1,1,A,1.01,gain,0.34,24,0.66,59,0.42,47,0.58,64,risky,risky
2,22,2,1,A,2.042,gain,0.88,79,0.12,82,0.2,57,0.8,94,risky,risky
2,38,3,1,A,1.315,gain,0.74,62,0.26,0,0.44,23,0.56,31,risky,risky
2,37,4,2,B,0.86,gain,0.05,56,0.95,72,0.95,68,0.05,95,risky,risky
2,70,5,1,A,0.196,gain,0.25,84,0.75,43,0.42,7,0.57,97,risky,risky
2,68,6,2,B,0.566,gain,0.28,7,0.72,74,0.71,55,0.29,63,risky,risky
2,58,7,1,A,1.298,gain,0.09,56,0.91,19,0.76,13,0.24,90,risky,risky
2,52,8,2,B,1.454,gain,0.63,41,0.37,18,0.98,56,0.02,8,risky,risky
2,7,9,1,A,3.636,gain,0.88,72,0.12,29,0.39,67,0.61,63,risky,risky
2,6,10,1,A,3.325,gain,0.61,37,0.39,50,0.6,6,0.4,45,risky,risky
2,35,11,1,A,8.129,gain,0.08,54,0.92,31,0.15,44,0.85,29,risky,risky
2,16,12,1,A,4.822,gain,0.92,63,0.08,5,0.63,43,0.37,53,risky,risky
