sub,trial,uncertain_word,internal_external,rt
1,1,predictable,81,6.313
1,2,unexpected,44,4.665
1,3,improbable,81,4.375
1,4,frequent,50,4.067
1,5,possible,50,2.483
1,6,vague,42,4.978
1,7,uncertain,50,3.08
1,8,definite,50,3.771
1,9,doubtful,31,5.337
1,10,confident,0,2.977
1,11,inevitable,76,3.69
1,12,erratic,78,2.719
1,13,risky,69,2.6
1,14,questionable,39,5.336
1,15,likely,65,2.935
1,16,unknown,19,2.883
1,17,ambiguous,50,2.308
1,18,certain,61,2.712
2,1,unexpected,83,5.945
2,2,erratic,31,3.195
2,3,questionable,61,1.929
2,4,inevitable,75,2.904
2,5,frequent,68,3.325
2,6,likely,37,3.724
2,7,improbable,64,1.949
2,8,vague,64,1.635
2,9,unknown,46,2.245
2,10,predictable,68,2.058
2,11,uncertain,70,4.169
2,12,certain,29,2.241
2,13,definite,21,2.498
2,14,risky,59,1.759
2,15,confident,47,1.886
2,16,ambiguous,57,2.141
2,17,doubtful,26,1.805
2,18,possible,69,1.653
3,1,doubtful,2,5.241
3,2,possible,90,3.974
3,3,confident,0,1.811
3,4,erratic,93,2.04
3,5,risky,58,4.806
3,6,inevitable,98,2.405
3,7,ambiguous,66,3.348
3,8,unexpected,18,3.348
3,9,uncertain,18,1.852
3,10,certain,2,1.902
3,11,questionable,45,5.07
3,12,unknown,13,1.771
3,13,frequent,94,1.876
3,14,vague,84,2.054
3,15,predictable,57,3.088
3,16,definite,97,2.961
3,17,improbable,85,1.815
3,18,likely,82,4.04
4,1,frequent,100,7.463
4,2,unexpected,50,4.9
4,3,ambiguous,80,4.574
4,4,risky,60,5.686
4,5,improbable,40,6.769
4,6,unknown,70,4.399
4,7,certain,91,5.654
4,8,uncertain,50,26.252
4,9,likely,40,6.237
4,10,erratic,30,3.376
4,11,possible,50,3.517
4,12,questionable,50,2.85
4,13,definite,100,2.353
4,14,doubtful,20,3.306
4,15,predictable,86,5.075
4,16,confident,0,4.95
4,17,vague,60,3.453
4,18,inevitable,100,2.45
5,1,possible,61,17.728
5,2,frequent,76,3.488
5,3,uncertain,39,3.042
5,4,unknown,41,4.521
5,5,improbable,65,3.245
5,6,predictable,74,3.07
5,7,likely,60,4.264
5,8,erratic,92,3.433
5,9,definite,56,5.015
5,10,confident,18,3.478
5,11,certain,29,3.638
5,12,unexpected,65,2.788
5,13,ambiguous,49,4.848
5,14,doubtful,32,3.983
5,15,risky,59,2.765
5,16,questionable,67,3.252
5,17,vague,56,2.944
5,18,inevitable,85,4.119
6,1,vague,72,39.01
6,2,erratic,81,6.43
6,3,unknown,45,4.621
6,4,improbable,71,10.087
6,5,risky,50,4.86
6,6,confident,20,9.296
6,7,definite,45,13.809
6,8,unexpected,40,4.727
6,9,frequent,81,4.443
6,10,questionable,24,4.892
6,11,inevitable,90,4.597
6,12,uncertain,40,4.652
6,13,likely,60,7.601
6,14,possible,85,5.216
6,15,ambiguous,46,4.564
6,16,doubtful,60,3.074
6,17,predictable,75,5.558
6,18,certain,90,5.604
7,1,erratic,100,12.534
7,2,inevitable,100,13.429
7,3,ambiguous,51,4.273
7,4,questionable,50,5.515
7,5,unexpected,63,4.719
7,6,likely,43,7.127
7,7,possible,33,3.385
7,8,predictable,28,4.839
7,9,unknown,100,6.854
7,10,vague,50,4.944
7,11,definite,50,6.824
7,12,uncertain,42,4.699
7,13,frequent,36,13.717
7,14,doubtful,40,3.172
7,15,confident,0,3.375
7,16,certain,17,3.277
7,17,improbable,40,3.95
7,18,risky,100,3.805
