sub,trial,uncertain_word,probability,rt
1,1,improbable,0,3.964
1,2,predictable,82,6.886
1,3,possible,51,2.992
1,4,unexpected,29,16.921
1,5,doubtful,19,3.219
1,6,likely,51,2.486
1,7,frequent,81,2.627
1,8,inevitable,100,1.624
1,9,definite,100,2.59
1,10,risky,10,2.447
1,11,certain,61,2.871
1,12,erratic,39,3.466
1,13,uncertain,0,3.224
1,14,questionable,19,3.041
1,15,confident,99,5.797
1,16,unknown,0,2.069
1,17,ambiguous,50,3.443
1,18,vague,40,2.949
2,1,risky,40,5.078
2,2,improbable,30,8.239
2,3,predictable,90,7.693
2,4,possible,91,4.872
2,5,inevitable,98,4.007
2,6,confident,81,2.637
2,7,unknown,21,1.822
2,8,doubtful,46,3.752
2,9,questionable,77,2.499
2,10,certain,64,3.227
2,11,erratic,48,5.076
2,12,likely,63,1.731
2,13,definite,100,2.098
2,14,uncertain,50,2.174
2,15,ambiguous,47,2.227
2,16,vague,40,1.974
2,17,unexpected,46,2.984
2,18,frequent,75,3.087
3,1,doubtful,26,2.858
3,2,vague,17,1.929
3,3,frequent,77,1.769
3,4,improbable,18,3.058
3,5,unknown,51,1.964
3,6,ambiguous,51,1.334
3,7,erratic,41,3.594
3,8,uncertain,51,1.544
3,9,possible,63,3.21
3,10,confident,86,2.08
3,11,certain,100,2.089
3,12,risky,39,2.075
3,13,definite,100,1.312
3,14,unexpected,26,3.302
3,15,questionable,49,3.458
3,16,likely,77,1.535
3,17,inevitable,100,1.533
3,18,predictable,78,2.089
4,1,predictable,100,6.279
4,2,inevitable,100,2.547
4,3,unknown,0,2.732
4,4,confident,100,1.676
4,5,doubtful,20,3.99
4,6,erratic,50,4.271
4,7,certain,100,2.172
4,8,possible,50,2.689
4,9,uncertain,50,28.413
4,10,frequent,100,2.17
4,11,improbable,0,3.382
4,12,definite,100,1.401
4,13,likely,80,4.143
4,14,risky,30,4.026
4,15,ambiguous,50,2.547
4,16,vague,10,5.243
4,17,questionable,50,2.574
4,18,unexpected,50,2.729
5,1,definite,99,7.354
5,2,vague,22,6.34
5,3,frequent,57,4.281
5,4,inevitable,100,5.775
5,5,questionable,51,5.011
5,6,confident,70,2.995
5,7,ambiguous,50,3.131
5,8,likely,72,4.856
5,9,risky,55,5.071
5,10,doubtful,29,3.091
5,11,predictable,88,3.5
5,12,possible,47,5.511
5,13,unknown,50,3.568
5,14,uncertain,50,3.886
5,15,erratic,49,4.391
5,16,unexpected,50,2.758
5,17,improbable,3,5.278
5,18,certain,100,3.038
6,1,ambiguous,40,8.131
6,2,questionable,45,10.069
6,3,frequent,70,5.063
6,4,definite,98,10.036
6,5,risky,50,4.064
6,6,confident,85,6.253
6,7,possible,55,5.674
6,8,unexpected,30,4.311
6,9,improbable,15,9.271
6,10,predictable,80,5.751
6,11,certain,100,2.983
6,12,doubtful,20,6.268
6,13,uncertain,40,5.039
6,14,erratic,35,4.941
6,15,inevitable,100,3.058
6,16,likely,60,4.689
6,17,unknown,45,4.518
6,18,vague,35,8.845
7,1,definite,70,4.355
7,2,frequent,78,4.299
7,3,unknown,25,3.084
7,4,doubtful,45,4.165
7,5,possible,93,3.222
7,6,predictable,95,6.897
7,7,confident,91,3.614
7,8,erratic,13,4.506
7,9,likely,69,4.226
